position	rank	score	title	year	genre	mpaa	imdb
1787		83.00000012	I'll Never Forget What's 'Isname (British)	1967	Comedy-Drama	N/A	http://www.imdb.com/title/tt0061801/
1788		83.00000009	Lies My Father Told Me (Canadian)	1975	Drama	PG	http://www.imdb.com/title/tt0073293/
1789	1120	83.00000009	Leadbelly	1976	Biography	PG	http://www.imdb.com/title/tt0074781/
1790	1121	83.00000006	Forever Female	1953	Comedy	N/A	http://www.imdb.com/title/tt0045782/
1791	1122	83.00000004	The Royal Family of Broadway	1930	Comedy	N/A	http://www.imdb.com/title/tt0021322/
1792	1123	83.00000004	Gal Young 'Un	1979	Drama	N/A	http://www.imdb.com/title/tt0079190/
1793	1124	83.00000004	Dogpound Shuffle	1975	Comedy-Drama	PG	http://www.imdb.com/title/tt0072891/
1794	1125	83.00000001	Finnegans Wake	1965	Drama	N/A	http://www.imdb.com/title/tt0059179/
1795		82.80000988	Octopussy (British)	1983	Action	PG	http://www.imdb.com/title/tt0086034/
1796	1126	82.80000727	A Civil Action	1998	Drama	PG-13	http://www.imdb.com/title/tt0120633/
1797	1127	82.80000721	The Horse Whisperer	1998	Drama	PG-13	http://www.imdb.com/title/tt0119314/
1798	1128	82.80000511	The Mosquito Coast	1986	Adventure	PG	http://www.imdb.com/title/tt0091557/
1799	1129	82.80000476	The Human Stain	2003	Drama	R	http://www.imdb.com/title/tt0308383/
1800	1130	82.80000317	Postcards From the Edge	1990	Drama	R	http://www.imdb.com/title/tt0100395/
1801	1131	82.80000314	Airport	1970	Drama	G	http://www.imdb.com/title/tt0065377/
1802	1132	82.8000011	The Fall of the Roman Empire	1964	Drama	N/A	http://www.imdb.com/title/tt0058085/
1803		82.80000065	Spirits of the Dead (French-Italian)	1968	Horror	R	http://www.imdb.com/title/tt0063715/
1804	1133	82.80000059	Operation Crossbow	1965	War Drama	PG-13	http://www.imdb.com/title/tt0059549/
1805		82.80000058	Viva Maria! (French-Italian)	1965	Comedy	N/A	http://www.imdb.com/title/tt0059956/
